id,s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21,is_anomaly
engine036_cyc003,642.7,1588.63,1404.26,553.52,2388.01,9058.85,47.33,521.66,2388.09,8138.18,8.4268,392.0,38.83,23.363,0
engine037_cyc001,642.5,1586.54,1404.33,553.48,2388.04,9045.66,47.35,521.5,2388.09,8127.28,8.4529,392.0,39.11,23.4308,0
engine037_cyc002,642.92,1588.48,1405.62,553.6,2388.07,9048.59,47.43,521.95,2388.09,8126.1,8.3788,392.0,38.86,23.3651,0
engine037_cyc003,642.98,1587.26,1407.49,553.89,2388.14,9048.71,47.4,522.06,2388.1,8125.95,8.4155,392.0,38.96,23.3742,0
engine038_cyc003,643.33,1593.66,1404.94,553.88,2388.1,9052.82,47.43,521.51,2388.15,8131.6,8.4434,393.0,38.96,23.3164,0
engine039_cyc001,642.72,1592.37,1410.0,552.82,2388.12,9043.49,47.64,521.78,2388.1,8133.27,8.4451,392.0,38.9,23.2947,0
engine040_cyc001,642.71,1594.14,1412.72,552.9,2388.08,9051.76,47.59,521.25,2388.07,8134.87,8.4417,394.0,38.61,23.2017,0
engine040_cyc002,642.91,1585.97,1414.86,553.02,2388.13,9058.39,47.55,521.29,2388.14,8137.99,8.4227,392.0,38.63,23.3334,0
engine040_cyc003,643.19,1593.68,1410.39,552.7,2388.16,9052.46,47.39,521.49,2388.11,8142.58,8.4526,394.0,38.81,23.3308,0
engine041_cyc001,642.66,1581.02,1400.05,554.87,2387.99,9064.13,47.19,522.24,2388.08,8153.35,8.413,391.0,38.94,23.3608,0
engine041_cyc002,642.35,1591.17,1403.99,554.48,2387.97,9067.53,47.26,522.02,2388.02,8143.42,8.3996,391.0,39.02,23.3779,0
engine041_cyc003,642.2,1589.71,1398.08,554.91,2387.99,9068.64,47.45,522.07,2388.02,8143.22,8.4215,391.0,38.95,23.3598,0
engine042_cyc001,642.6,1580.46,1394.47,554.81,2388.08,9061.05,47.38,521.97,2388.03,8144.4,8.4151,391.0,38.87,23.3795,0
engine042_cyc002,642.4,1588.76,1400.28,554.47,2388.08,9060.98,47.1,522.16,2388.0,8141.45,8.3744,391.0,39.08,23.3892,0
engine042_cyc003,642.98,1590.3,1405.86,554.34,2388.08,9058.45,47.46,522.24,2388.05,8142.36,8.3947,393.0,38.9,23.3858,0
engine043_cyc002,642.22,1582.02,1397.92,554.58,2388.05,9052.6,47.22,522.26,2388.04,8137.21,8.3635,390.0,39.11,23.3848,0
engine043_cyc003,641.95,1590.17,1402.59,554.07,2388.02,9059.05,47.31,521.94,2387.99,8141.18,8.4029,391.0,39.11,23.4861,0
engine044_cyc001,642.34,1588.01,1399.96,554.28,2388.03,9061.49,47.17,522.14,2388.02,8145.19,8.4232,391.0,39.06,23.3551,0
engine044_cyc002,642.08,1589.48,1398.69,553.99,2388.05,9068.98,47.39,521.83,2388.01,8149.47,8.4033,393.0,38.99,23.4454,0
engine044_cyc003,642.48,1588.43,1403.39,554.36,2388.05,9065.18,47.24,522.13,2388.01,8141.87,8.405,392.0,38.99,23.291,0
engine045_cyc001,642.4,1584.27,1403.72,554.81,2387.99,9071.34,47.13,522.49,2387.95,8150.67,8.3918,391.0,39.15,23.4142,0
engine045_cyc003,641.83,1586.01,1396.16,554.86,2387.94,9072.93,47.03,522.4,2388.02,8156.34,8.4158,390.0,38.97,23.3814,0
engine046_cyc001,642.37,1597.38,1391.37,553.92,2388.04,9063.04,47.2,522.42,2388.01,8137.89,8.4154,391.0,39.13,23.3629,0
engine046_cyc002,641.63,1581.33,1409.91,554.36,2388.03,9057.81,47.18,522.65,2388.03,8140.05,8.3768,390.0,39.03,23.4022,0
engine046_cyc003,642.33,1578.91,1397.54,553.62,2387.98,9056.65,47.33,522.53,2387.99,8142.08,8.3959,392.0,39.15,23.3871,0
engine047_cyc001,642.27,1581.75,1402.34,554.99,2387.98,9059.4,47.21,522.64,2387.99,8144.86,8.4063,392.0,39.09,23.2883,0
engine047_cyc002,642.6,1575.94,1401.33,555.05,2388.0,9065.97,47.14,522.29,2388.01,8146.92,8.3743,392.0,39.01,23.5057,0
engine047_cyc003,641.69,1584.8,1398.87,554.75,2388.02,9061.19,47.06,522.82,2387.98,8148.92,8.3818,391.0,39.1,23.4533,0
engine048_cyc001,642.39,1576.34,1403.88,554.29,2388.01,9062.79,47.39,521.98,2388.02,8148.9,8.4149,391.0,39.01,23.4323,0
engine048_cyc003,642.07,1584.44,1404.37,554.97,2387.98,9060.38,47.38,522.65,2388.03,8145.33,8.3994,391.0,39.17,23.4419,0
engine049_cyc001,642.31,1595.57,1401.2,553.33,2388.12,9041.44,47.52,521.72,2388.12,8128.95,8.419,394.0,38.87,23.3481,0
engine049_cyc002,642.37,1583.9,1400.51,553.25,2388.1,9044.2,47.54,521.68,2388.12,8121.26,8.4351,392.0,38.62,23.229,0
engine049_cyc003,643.07,1588.82,1408.52,553.36,2388.14,9044.87,47.51,521.15,2388.14,8126.3,8.4225,392.0,38.77,23.2212,0
engine050_cyc001,642.12,1582.5,1400.44,553.76,2388.05,9057.95,47.31,521.97,2388.08,8141.04,8.4366,394.0,38.96,23.3947,0
engine050_cyc002,642.62,1589.9,1404.14,554.52,2388.02,9062.85,47.31,522.27,2388.02,8138.39,8.4211,394.0,38.91,23.4594,0
engine051_cyc002,642.09,1580.84,1397.69,553.74,2387.97,9060.95,47.19,522.13,2387.98,8145.73,8.3922,391.0,38.83,23.3451,0
engine051_cyc003,642.49,1591.56,1398.4,553.8,2387.98,9064.23,47.06,522.27,2388.0,8142.38,8.4018,392.0,39.18,23.3495,0
engine052_cyc001,642.67,1587.47,1405.02,553.94,2388.11,9049.17,47.5,521.23,2388.08,8130.94,8.3885,394.0,38.77,23.3636,0
engine052_cyc002,642.48,1593.3,1413.05,554.11,2388.1,9047.76,47.46,521.75,2388.06,8129.41,8.4687,392.0,39.02,23.2396,0
engine052_cyc003,642.54,1587.35,1407.83,554.11,2388.08,9050.85,47.61,521.25,2388.07,8128.58,8.4006,393.0,38.85,23.3873,0
engine053_cyc001,642.33,1589.39,1407.73,554.42,2388.09,9065.54,47.47,522.14,2388.1,8146.36,8.4451,392.0,38.91,23.2416,0
engine053_cyc002,642.65,1586.85,1407.05,553.99,2388.06,9064.74,47.32,522.29,2388.07,8141.85,8.4543,392.0,38.74,23.5065,0
engine054_cyc001,642.55,1582.13,1395.54,554.37,2388.02,9056.97,47.16,521.64,2388.05,8139.33,8.39,390.0,39.16,23.3164,0
engine054_cyc002,642.43,1585.29,1399.09,553.95,2388.07,9069.85,47.23,522.25,2387.95,8145.65,8.3852,392.0,39.2,23.3992,0
engine055_cyc001,642.58,1583.77,1407.45,554.39,2388.1,9041.62,47.39,521.5,2388.1,8133.23,8.4287,393.0,38.95,23.3957,0
engine055_cyc002,642.14,1588.23,1414.47,553.77,2388.1,9047.71,47.33,521.33,2388.1,8135.6,8.3795,392.0,38.86,23.3376,0
engine055_cyc003,642.58,1591.48,1394.99,553.52,2388.11,9050.16,47.44,522.29,2388.12,8129.66,8.4301,392.0,38.92,23.3784,0
engine056_cyc002,642.75,1586.44,1415.44,552.68,2388.1,9059.1,47.72,521.18,2388.13,8136.92,8.4412,395.0,38.81,23.2391,0
engine057_cyc001,642.64,1593.48,1402.4,553.58,2388.07,9049.3,47.41,521.82,2388.08,8136.11,8.3973,391.0,38.96,23.3836,0
engine057_cyc002,641.94,1586.18,1397.07,553.94,2388.05,9048.85,47.2,521.82,2388.05,8135.12,8.4227,393.0,38.94,23.368,0
engine057_cyc003,642.19,1591.6,1407.08,554.51,2388.11,9049.73,47.43,521.98,2388.06,8130.46,8.42,393.0,38.88,23.4072,0
engine058_cyc001,642.71,1587.27,1405.1,553.55,2387.99,9063.94,47.4,521.98,2388.0,8145.98,8.3982,391.0,39.03,23.4821,0
engine058_cyc003,641.87,1587.99,1412.41,554.45,2388.02,9064.87,47.44,522.37,2388.06,8142.33,8.3964,392.0,38.99,23.3706,0
engine059_cyc001,642.23,1583.85,1394.9,554.96,2388.01,9054.46,47.12,522.76,2387.99,8138.74,8.4077,390.0,38.95,23.3631,0
engine059_cyc002,641.68,1583.38,1391.57,554.44,2388.0,9048.32,47.05,522.92,2388.0,8143.46,8.4237,391.0,39.07,23.5368,0
engine059_cyc003,642.12,1593.37,1396.53,554.45,2388.01,9048.23,47.09,522.29,2388.04,8142.43,8.3694,391.0,39.08,23.3646,0
engine060_cyc001,642.65,1585.71,1394.7,554.13,2388.14,9044.2,47.69,521.92,2388.11,8135.39,8.4409,392.0,38.89,23.3721,0
engine060_cyc002,642.42,1593.58,1400.03,553.43,2388.08,9057.18,47.44,521.18,2388.1,8138.29,8.4322,392.0,38.85,23.2555,0
engine061_cyc001,641.89,1582.05,1399.41,554.88,2387.98,9063.7,47.15,522.36,2388.01,8140.09,8.3703,391.0,39.27,23.4459,0
engine061_cyc002,641.79,1578.38,1397.21,554.86,2387.97,9064.77,47.45,522.39,2387.95,8146.75,8.4195,391.0,38.99,23.51,0
engine061_cyc003,641.83,1584.92,1394.93,555.18,2387.97,9067.64,47.1,522.39,2388.03,8146.4,8.3592,392.0,39.16,23.3222,0
engine062_cyc001,642.77,1588.2,1413.2,553.04,2388.07,9060.26,47.55,521.52,2388.1,8140.43,8.4479,392.0,38.94,23.2366,0
engine062_cyc002,642.53,1580.22,1412.82,553.68,2388.08,9058.77,47.5,520.92,2388.1,8139.12,8.451,394.0,38.86,23.3081,0
engine062_cyc003,642.52,1589.38,1408.06,553.07,2388.08,9055.76,47.68,521.57,2388.09,8137.36,8.4472,394.0,38.88,23.2851,0
engine063_cyc001,642.61,1585.01,1405.59,553.95,2388.07,9050.26,47.38,521.24,2388.09,8137.64,8.395,392.0,38.98,23.4455,0
engine063_cyc003,642.55,1600.15,1404.54,553.22,2388.09,9057.29,47.52,521.53,2388.06,8134.44,8.4368,392.0,39.0,23.3173,0
engine064_cyc001,642.36,1586.12,1408.33,553.72,2388.06,9061.0,47.36,522.38,2388.02,8139.39,8.4304,393.0,38.91,23.325,0
engine064_cyc002,642.88,1581.13,1411.2,554.33,2388.09,9058.96,47.34,521.81,2388.08,8132.32,8.4046,392.0,38.86,23.3201,0
engine064_cyc003,642.4,1588.42,1398.31,554.17,2388.05,9056.99,47.49,521.78,2388.07,8140.83,8.4201,394.0,38.8,23.3658,0
engine065_cyc002,641.7,1580.85,1403.05,554.12,2388.0,9067.05,47.22,522.72,2387.97,8144.19,8.3931,391.0,39.05,23.4484,0
engine065_cyc003,642.05,1577.46,1404.75,554.38,2387.99,9056.05,47.03,522.66,2388.04,8146.1,8.4203,392.0,39.21,23.4586,0
engine066_cyc002,642.81,1595.37,1410.63,553.74,2388.15,9059.79,47.69,520.88,2388.08,8137.77,8.4827,394.0,38.91,23.2101,0
engine066_cyc003,642.53,1584.2,1415.2,553.39,2388.08,9054.91,47.75,521.5,2388.14,8139.29,8.4491,394.0,38.58,23.2292,0
engine067_cyc002,642.12,1591.12,1404.59,553.72,2388.12,9060.29,47.23,521.72,2388.04,8143.35,8.3883,393.0,38.8,23.4387,0
engine067_cyc003,642.52,1591.87,1408.07,553.63,2388.08,9069.27,47.16,522.17,2388.02,8149.79,8.4786,391.0,38.92,23.3917,0
engine068_cyc001,642.25,1589.89,1408.15,553.31,2388.07,9065.09,47.29,521.73,2388.11,8141.65,8.4583,394.0,38.71,23.3029,0
engine068_cyc002,642.82,1586.51,1405.07,554.06,2388.1,9060.7,47.55,522.11,2388.05,8141.33,8.4402,393.0,38.82,23.3188,0
engine068_cyc003,642.33,1584.78,1406.81,553.3,2388.12,9065.74,47.5,520.98,2388.09,8137.02,8.4029,394.0,38.92,23.218,0
engine069_cyc001,641.96,1587.1,1400.65,553.68,2388.0,9054.19,47.34,522.03,2388.03,8136.88,8.4094,392.0,38.87,23.4081,0
engine069_cyc002,641.5,1594.24,1401.54,554.22,2388.04,9057.57,47.26,522.08,2388.08,8139.88,8.4172,392.0,39.02,23.4189,0
engine069_cyc003,642.73,1585.41,1405.22,554.11,2388.04,9052.77,47.35,522.05,2388.06,8136.42,8.3869,392.0,38.82,23.3756,0
engine070_cyc001,642.26,1588.45,1400.02,552.94,2388.09,9065.41,47.61,521.18,2388.07,8138.06,8.43,392.0,38.81,23.418,0
engine070_cyc002,642.59,1590.0,1407.22,552.5,2388.11,9059.25,47.48,522.08,2388.12,8134.76,8.4447,394.0,38.79,23.3135,0
engine070_cyc003,642.82,1586.05,1408.64,553.75,2388.09,9063.08,47.45,521.93,2388.03,8140.84,8.4202,392.0,38.87,23.414,0
engine071_cyc001,642.64,1581.95,1407.04,553.56,2388.11,9042.7,47.44,521.9,2388.13,8126.82,8.4372,391.0,38.99,23.2399,0
engine071_cyc002,642.82,1593.17,1403.53,553.22,2388.11,9040.58,47.56,521.24,2388.1,8124.84,8.4068,392.0,38.85,23.2887,0
engine071_cyc003,642.5,1582.94,1402.54,553.7,2388.11,9044.49,47.62,521.85,2388.09,8123.24,8.4233,394.0,38.92,23.3668,0
engine072_cyc003,642.39,1588.19,1402.37,553.84,2388.04,9043.02,47.39,521.66,2388.05,8127.28,8.4303,393.0,38.99,23.3593,0
engine073_cyc001,642.84,1591.37,1408.94,553.29,2388.15,9042.35,47.46,521.26,2388.11,8122.12,8.4092,394.0,38.72,23.2402,0
engine073_cyc002,642.46,1594.55,1415.22,553.17,2388.15,9043.79,47.57,521.06,2388.14,8120.45,8.4365,393.0,38.85,23.2368,0
engine073_cyc003,642.78,1593.6,1411.45,553.06,2388.14,9039.49,47.48,521.34,2388.1,8124.08,8.4456,392.0,38.86,23.3427,0
engine074_cyc001,642.31,1580.43,1400.18,554.02,2388.0,9067.46,47.21,522.55,2388.0,8148.06,8.379,391.0,39.11,23.405,0
engine074_cyc002,642.26,1593.03,1398.78,554.23,2388.01,9068.21,47.39,521.58,2388.01,8149.56,8.4144,392.0,38.93,23.3752,0
engine074_cyc003,642.61,1579.86,1399.5,554.45,2388.05,9066.32,47.2,522.07,2388.01,8144.95,8.3793,392.0,38.8,23.4071,0
engine075_cyc001,642.1,1590.06,1404.45,553.69,2388.1,9045.13,47.64,521.34,2388.06,8122.59,8.4538,392.0,38.98,23.2272,0
engine075_cyc003,642.62,1591.86,1404.45,553.74,2388.03,9042.85,47.6,521.15,2388.08,8123.89,8.4266,391.0,38.89,23.2593,0
engine076_cyc002,642.24,1589.03,1411.7,553.24,2388.13,9056.49,47.71,521.38,2388.11,8129.09,8.4192,394.0,38.79,23.3319,0
engine076_cyc003,642.92,1597.35,1404.75,553.55,2388.06,9059.17,47.44,521.89,2388.08,8137.35,8.473,393.0,38.88,23.2503,0
engine077_cyc003,641.78,1585.31,1400.54,553.67,2388.12,9051.11,47.39,521.46,2388.09,8125.17,8.435,394.0,38.82,23.2387,0
engine078_cyc001,642.0,1587.5,1395.1,554.76,2388.02,9055.79,47.0,522.48,2387.96,8139.23,8.3303,392.0,39.26,23.4923,0
engine078_cyc002,641.45,1586.11,1394.24,555.1,2387.98,9053.91,47.23,522.87,2387.99,8144.53,8.406,391.0,39.21,23.3712,0
engine079_cyc001,642.22,1581.77,1392.78,554.44,2387.95,9055.37,47.1,522.54,2388.05,8139.5,8.3795,391.0,39.02,23.526,0
engine079_cyc002,641.97,1582.13,1399.23,554.88,2387.96,9052.66,47.15,522.39,2388.0,8136.53,8.3828,391.0,39.06,23.3483,0
engine079_cyc003,642.15,1584.59,1398.1,555.06,2387.99,9057.79,47.37,522.14,2387.99,8136.7,8.4288,392.0,38.95,23.3914,0
engine080_cyc001,642.66,1588.3,1392.25,553.3,2388.17,9052.54,47.44,521.76,2388.13,8130.23,8.4377,393.0,38.66,23.2146,0
engine080_cyc002,642.55,1590.37,1413.83,554.33,2388.08,9047.61,47.62,521.62,2388.12,8136.26,8.4602,393.0,38.83,23.3626,0
engine080_cyc003,643.62,1586.74,1408.62,553.94,2388.12,9055.27,47.46,521.51,2388.1,8131.42,8.399,393.0,38.78,23.2833,0
engine081_cyc001,642.04,1589.91,1406.63,553.78,2388.1,9060.49,47.53,522.09,2388.04,8134.78,8.4455,391.0,38.87,23.3365,0
